detector_id,detector_name,severity,bioguide_id,member_name,party,state,district,quarter,description,amount,vendor_name,extra_json
A,Office negative AP rate,MEDIUM,E000298,Ron Estes,R,KS,,2024Q4,"Negative AP rate 7.4% (z=4.5, peer median 1.6%)",-67250.27000000002,,"{""neg_count"": 18, ""total_ap_count"": 242, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,G000559,John Garamendi,D,CA,,2024Q4,"Negative AP rate 5.6% (z=3.0, peer median 1.6%)",-43822.54,,"{""neg_count"": 9, ""total_ap_count"": 162, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,HIGH,C001130,Jasmine Crockett,D,TX,,2025Q1,"Negative AP rate 13.5% (z=9.3, peer median 0.9%)",-37305.14000000001,,"{""neg_count"": 37, ""total_ap_count"": 274, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,MEDIUM,R000600,Aumua Amata Coleman Radewagen,R,AS,,2025Q2,"Negative AP rate 6.6% (z=3.9, peer median 1.0%)",-27702.67,,"{""neg_count"": 12, ""total_ap_count"": 183, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,L000583,Barry Loudermilk,R,GA,,2025Q1,"Negative AP rate 5.9% (z=3.7, peer median 0.9%)",-22317.579999999994,,"{""neg_count"": 15, ""total_ap_count"": 254, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,R000600,Aumua Amata Coleman Radewagen,R,AS,,2024Q4,"Negative AP rate 13.0% (z=8.7, peer median 1.6%)",-20031.35,,"{""neg_count"": 19, ""total_ap_count"": 146, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,HIGH,C001130,Jasmine Crockett,D,TX,,2024Q4,"Negative AP rate 9.7% (z=6.2, peer median 1.6%)",-16787.91,,"{""neg_count"": 19, ""total_ap_count"": 196, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,HIGH,L000600,Nicholas A. Langworthy,R,NY,,2025Q1,"Negative AP rate 12.6% (z=8.7, peer median 0.9%)",-15751.7,,"{""neg_count"": 26, ""total_ap_count"": 206, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,L000600,Nicholas A. Langworthy,R,NY,,2025Q2,"Negative AP rate 10.0% (z=6.3, peer median 1.0%)",-15163.18,,"{""neg_count"": 15, ""total_ap_count"": 150, ""peer_median_neg_rate"": ""0.971%""}"
A,Office negative AP rate,MEDIUM,G000559,John Garamendi,D,CA,,2025Q1,"Negative AP rate 5.1% (z=3.1, peer median 0.9%)",-14693.570000000002,,"{""neg_count"": 5, ""total_ap_count"": 99, ""peer_median_neg_rate"": ""0.909%""}"
A,Office negative AP rate,HIGH,J000298,Pramila Jayapal,D,WA,,2024Q4,"Negative AP rate 8.3% (z=5.1, peer median 1.6%)",-13881.869999999999,,"{""neg_count"": 13, ""total_ap_count"": 156, ""peer_median_neg_rate"": ""1.579%""}"
A,Office negative AP rate,MEDIUM,M001225,Kevin Mullin,D,CA,,2025Q4,"Negative AP rate 8.8% (z=4.6, peer median 1.1%)",-13302.79,,"{""neg_count"": 9, ""total_ap_count"": 102, ""peer_median_neg_rate"": ""1.130%""}"
